,CART,KNN,LR,NB,RF
MIRANTIS,0.612,0.683,0.775,0.746,0.739
MOZILLA,0.733,0.663,0.678,0.683,0.76
OPENSTACK,0.572,0.57,0.645,0.696,0.592
WIKIMEDIA,0.645,0.697,0.652,0.714,0.633
