,CART,KNN,LR,NB,RF
MIRANTIS,0.6,0.667,0.706,0.698,0.703
MOZILLA,0.693,0.63,0.639,0.614,0.751
OPENSTACK,0.556,0.588,0.673,0.593,0.585
WIKIMEDIA,0.627,0.618,0.694,0.676,0.645
